expr,gold,single,reflection,majority,debate_weighted
10+30*4+12-20*1,122,True,True,True,True
2+26*17+3-11*18,249,True,True,True,True
1+29*16+6-1*2,469,True,True,False,False
13+13*2+7-2*17,12,True,True,True,True
13+1*26+18-3*30,-33,True,True,True,True
7+20*20+18-30*1,395,True,True,True,True
18+18*12+1-7*1,228,True,True,True,True
17+27*4+9-13*4,82,True,True,False,False
17+3*18+9-17*26,-362,True,False,True,True
21+5*3+18-18*20,-306,True,True,True,True
6+11*3+17-22*2,12,True,True,True,True
18+1*19+6-15*21,-272,True,False,True,True
17+13*24+10-14*18,87,True,True,True,True
29+14*11+9-7*25,17,True,False,False,False
5+22*24+7-2*18,504,False,True,False,False
9+16*15+28-10*23,47,False,False,False,False
14+9*19+2-3*16,139,False,False,False,False
13+5*24+10-4*29,27,True,True,False,False
15+13*1+30-21*2,16,True,True,True,True
24+17*18+25-28*26,-373,True,True,True,True
10+10*22+11-19*15,-44,False,True,False,False
18+25*14+2-26*2,318,False,False,False,False
30+8*15+22-21*2,130,True,True,True,True
1+23*22+9-20*18,156,False,True,False,False
21+26*14+9-22*12,130,True,True,True,True
28+21*11+0-30*14,-161,True,True,True,True
11+5*19+3-15*1,94,True,True,False,False
6+24*9+4-23*7,65,False,True,False,False
12+12*29+27-15*2,357,False,True,False,False
5+14*12+17-8*28,-34,True,True,True,True
4+26*13+27-17*8,233,True,False,True,True
22+13*11+21-28*12,-150,True,False,True,True
30+7*4+2-5*4,40,False,False,False,False
7+21*7+0-15*26,-236,True,True,True,True
18+5*8+9-0*4,67,True,True,True,True
13+17*11+19-18*10,39,False,False,False,False
30+4*22+27-16*30,-335,True,True,True,True
19+20*21+23-1*14,448,False,False,True,True
28+27*24+30-27*21,139,True,False,False,False
25+17*12+12-12*12,97,True,True,True,True
3+15*20+12-1*6,309,False,False,True,True
2+6*14+5-3*10,61,True,False,True,True
19+1*3+0-18*4,-50,True,True,True,True
17+3*30+11-19*0,118,True,False,False,False
2+27*6+19-12*4,135,True,True,False,False
20+8*30+11-19*11,62,True,True,True,True
15+3*3+27-15*14,-159,True,True,True,True
15+15*9+2-4*3,140,False,False,True,True
23+10*23+8-15*26,-129,False,True,False,False
22+5*16+0-6*30,-78,True,True,True,True
30+16*11+4-22*17,-164,True,True,True,True
29+0*24+16-9*20,-135,True,True,True,True
27+2*22+27-8*16,-30,True,True,True,True
11+29*5+11-24*7,-1,True,True,True,True
17+17*24+16-10*20,241,False,False,False,False
7+19*25+25-24*27,-141,True,True,True,True
6+25*7+26-12*23,-69,True,True,True,True
25+7*6+16-15*11,-82,True,True,True,True
23+0*0+25-8*15,-72,True,True,True,True
8+6*22+19-30*11,-171,True,True,True,True
14+25*29+23-11*30,432,True,True,True,True
11+2*7+3-7*15,-77,True,False,True,True
6+10*6+15-19*28,-451,True,True,True,True
19+26*0+15-29*20,-546,True,True,True,True
11+25*20+2-26*21,-33,False,True,True,True
3+29*12+25-22*24,-152,True,True,False,False
6+15*28+5-13*25,106,False,True,True,True
20+10*2+25-30*23,-625,True,True,True,True
12+14*12+23-30*2,143,False,True,True,True
23+5*5+4-0*4,52,False,False,True,True
18+28*14+25-20*4,355,True,True,True,True
19+26*19+15-21*29,-81,True,False,True,True
11+4*17+17-4*0,96,True,True,True,True
0+25*23+20-3*16,547,False,False,True,True
23+29*4+13-27*6,-10,False,True,True,True
26+27*6+0-8*6,140,True,True,True,True
9+16*7+24-18*10,-35,True,False,True,True
8+17*13+26-4*1,251,True,True,True,True
29+23*11+28-14*21,16,False,True,False,False
18+26*28+16-13*26,424,False,True,True,True
29+28*16+4-17*4,413,True,False,False,False
16+16*0+27-14*24,-293,True,True,True,True
5+19*0+24-25*4,-71,True,True,True,True
5+4*15+19-23*3,15,True,True,True,True
17+1*10+21-16*16,-208,True,False,True,True
17+15*25+24-3*28,332,True,True,False,False
17+1*7+6-8*1,22,False,False,False,True
24+3*16+14-17*0,86,True,True,True,True
24+28*29+2-14*10,698,False,False,False,False
19+16*19+16-6*22,207,False,False,False,False
8+14*16+17-25*15,-126,True,True,True,True
16+30*7+22-16*28,-200,False,False,False,False
28+30*29+8-29*17,413,True,True,True,True
28+30*6+26-14*4,178,False,False,False,False
13+3*12+14-10*2,43,False,False,False,False
21+7*13+2-6*21,-12,False,True,True,False
9+25*3+28-24*4,16,False,False,False,False
30+22*20+21-11*4,447,True,True,True,True
8+28*4+30-14*7,52,False,True,False,False
23+30*3+12-28*15,-295,False,False,True,True
